Align,DE,Dir,GeneName,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0343016,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0071613,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0088136,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0302091,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0342814,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0342813,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0342810,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0342806,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0342805,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0342818,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0340405,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0346627,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0076772,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0305063,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0300815,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0334846,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0075558,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0299564,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0335475,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0080263,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0301850,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0301851,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0088895,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0346713,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0337016,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0090014,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0347568,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0347567,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0110876,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0077828,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0333726,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0332581,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0075264,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0332911,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0086506,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0071246,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0339825,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0100298,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0304802,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0088052,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0085155,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0333219,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0301492,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0070966,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0342607,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0113380,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0345429,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0308564,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0100575,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0302034,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0302577,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0077247,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0076263,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0080942,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0074872,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0344790,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0076935,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0335263,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0089716,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0310668,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0310669,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0302561,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0347024,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0332202,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0330306,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0301708,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0074777,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0332403,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0303385,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0302548,,,,,,,,,
