,Align,DE,Dir,GeneName
356,bowtie2,DESeq2,down,FBtr0290019
357,bowtie2,DESeq2,down,FBtr0290025
358,bowtie2,DESeq2,down,FBtr0290076
359,bowtie2,DESeq2,down,FBtr0290077
360,bowtie2,DESeq2,down,FBtr0290327
361,bowtie2,DESeq2,down,FBtr0299526
362,bowtie2,DESeq2,down,FBtr0299968
363,bowtie2,DESeq2,down,FBtr0300190
364,bowtie2,DESeq2,down,FBtr0300599
365,bowtie2,DESeq2,down,FBtr0301131
366,bowtie2,DESeq2,down,FBtr0301403
367,bowtie2,DESeq2,down,FBtr0301537
368,bowtie2,DESeq2,down,FBtr0301651
369,bowtie2,DESeq2,down,FBtr0301915
370,bowtie2,DESeq2,down,FBtr0302323
371,bowtie2,DESeq2,down,FBtr0302498
372,bowtie2,DESeq2,down,FBtr0302592
373,bowtie2,DESeq2,down,FBtr0302615
374,bowtie2,DESeq2,down,FBtr0302645
375,bowtie2,DESeq2,down,FBtr0302691
376,bowtie2,DESeq2,down,FBtr0302692
377,bowtie2,DESeq2,down,FBtr0302694
378,bowtie2,DESeq2,down,FBtr0302695
379,bowtie2,DESeq2,down,FBtr0302713
380,bowtie2,DESeq2,down,FBtr0302896
381,bowtie2,DESeq2,down,FBtr0302938
382,bowtie2,DESeq2,down,FBtr0303384
383,bowtie2,DESeq2,down,FBtr0303387
384,bowtie2,DESeq2,down,FBtr0303389
385,bowtie2,DESeq2,down,FBtr0303756
386,bowtie2,DESeq2,down,FBtr0303787
387,bowtie2,DESeq2,down,FBtr0303790
388,bowtie2,DESeq2,down,FBtr0303857
389,bowtie2,DESeq2,down,FBtr0303994
390,bowtie2,DESeq2,down,FBtr0304621
391,bowtie2,DESeq2,down,FBtr0304683
392,bowtie2,DESeq2,down,FBtr0304933
393,bowtie2,DESeq2,down,FBtr0304993
394,bowtie2,DESeq2,down,FBtr0304997
395,bowtie2,DESeq2,down,FBtr0305218
396,bowtie2,DESeq2,down,FBtr0306107
397,bowtie2,DESeq2,down,FBtr0306244
398,bowtie2,DESeq2,down,FBtr0306930
399,bowtie2,DESeq2,down,FBtr0307016
400,bowtie2,DESeq2,down,FBtr0307057
401,bowtie2,DESeq2,down,FBtr0307289
402,bowtie2,DESeq2,down,FBtr0307374
403,bowtie2,DESeq2,down,FBtr0307520
404,bowtie2,DESeq2,down,FBtr0308065
405,bowtie2,DESeq2,down,FBtr0308631
406,bowtie2,DESeq2,down,FBtr0308633
