Align,DE,Dir,GeneName
sailfish,edgeR,down,FBtr0077645
sailfish,edgeR,down,FBtr0335024
sailfish,edgeR,down,FBtr0080589
sailfish,edgeR,down,FBtr0081352
sailfish,edgeR,down,FBtr0081354
sailfish,edgeR,down,FBtr0072956
sailfish,edgeR,down,FBtr0304995
sailfish,edgeR,down,FBtr0304993
sailfish,edgeR,down,FBtr0078144
sailfish,edgeR,down,FBtr0071934
sailfish,edgeR,down,FBtr0334867
sailfish,edgeR,down,FBtr0345142
sailfish,edgeR,down,FBtr0078937
sailfish,edgeR,down,FBtr0083967
sailfish,edgeR,down,FBtr0070985
sailfish,edgeR,down,FBtr0078083
sailfish,edgeR,down,FBtr0074276
sailfish,edgeR,down,FBtr0342811
sailfish,edgeR,down,FBtr0342815
sailfish,edgeR,down,FBtr0075341
sailfish,edgeR,down,FBtr0085209
sailfish,edgeR,down,FBtr0084990
sailfish,edgeR,down,FBtr0339612
sailfish,edgeR,down,FBtr0329957
sailfish,edgeR,down,FBtr0329955
sailfish,edgeR,down,FBtr0076771
sailfish,edgeR,down,FBtr0346863
sailfish,edgeR,down,FBtr0075839
sailfish,edgeR,down,FBtr0113451
sailfish,edgeR,down,FBtr0075811
sailfish,edgeR,down,FBtr0090022
sailfish,edgeR,down,FBtr0308201
sailfish,edgeR,down,FBtr0073339
sailfish,edgeR,down,FBtr0334328
sailfish,edgeR,down,FBtr0339189
sailfish,edgeR,down,FBtr0290076
sailfish,edgeR,down,FBtr0299968
sailfish,edgeR,down,FBtr0079253
sailfish,edgeR,down,FBtr0085156
sailfish,edgeR,down,FBtr0330186
sailfish,edgeR,down,FBtr0075793
sailfish,edgeR,down,FBtr0310438
sailfish,edgeR,down,FBtr0336904
sailfish,edgeR,down,FBtr0075204
sailfish,edgeR,down,FBtr0088774
sailfish,edgeR,down,FBtr0113470
sailfish,edgeR,down,FBtr0339144
sailfish,edgeR,down,FBtr0289981
sailfish,edgeR,down,FBtr0089649
sailfish,edgeR,down,FBtr0071240
sailfish,edgeR,down,FBtr0088224
sailfish,edgeR,down,FBtr0080565
sailfish,edgeR,down,FBtr0332203
sailfish,edgeR,down,FBtr0079667
sailfish,edgeR,down,FBtr0303387
sailfish,edgeR,down,FBtr0332405
sailfish,edgeR,down,FBtr0303384
sailfish,edgeR,down,FBtr0332046
sailfish,edgeR,down,FBtr0307306
sailfish,edgeR,down,FBtr0310653
sailfish,edgeR,down,FBtr0077234
sailfish,edgeR,down,FBtr0332930
sailfish,edgeR,down,FBtr0290025
sailfish,edgeR,down,FBtr0076792
sailfish,edgeR,down,FBtr0070265
sailfish,edgeR,down,FBtr0303106
sailfish,edgeR,down,FBtr0290077
sailfish,edgeR,down,FBtr0085735
sailfish,edgeR,down,FBtr0084054
sailfish,edgeR,down,FBtr0087530
sailfish,edgeR,down,FBtr0071690
sailfish,edgeR,down,FBtr0332500
sailfish,edgeR,down,FBtr0332017
sailfish,edgeR,down,FBtr0290327
sailfish,edgeR,down,FBtr0072561
sailfish,edgeR,down,FBtr0300039
sailfish,edgeR,down,FBtr0302592
sailfish,edgeR,down,FBtr0087115
sailfish,edgeR,down,FBtr0087601
sailfish,edgeR,down,FBtr0073269
sailfish,edgeR,down,FBtr0084549
sailfish,edgeR,down,FBtr0087960
sailfish,edgeR,down,FBtr0339956
sailfish,edgeR,down,FBtr0336759
sailfish,edgeR,down,FBtr0110971
sailfish,edgeR,down,FBtr0080932
sailfish,edgeR,down,FBtr0085997
sailfish,edgeR,down,FBtr0082158
sailfish,edgeR,down,FBtr0076459
sailfish,edgeR,down,FBtr0301559
sailfish,edgeR,down,FBtr0079632
sailfish,edgeR,down,FBtr0332057
sailfish,edgeR,down,FBtr0303857
sailfish,edgeR,down,FBtr0086670
sailfish,edgeR,down,FBtr0345487
sailfish,edgeR,down,FBtr0089343
sailfish,edgeR,down,FBtr0089360
sailfish,edgeR,down,FBtr0089361
sailfish,edgeR,down,FBtr0089348
sailfish,edgeR,down,FBtr0089359
sailfish,edgeR,down,FBtr0072864
sailfish,edgeR,down,FBtr0085423
sailfish,edgeR,down,FBtr0077524
sailfish,edgeR,down,FBtr0080306
sailfish,edgeR,down,FBtr0075077
sailfish,edgeR,down,FBtr0309828
sailfish,edgeR,down,FBtr0113011
sailfish,edgeR,down,FBtr0078191
sailfish,edgeR,down,FBtr0100462
sailfish,edgeR,down,FBtr0302513
sailfish,edgeR,down,FBtr0112577
sailfish,edgeR,down,FBtr0070809
sailfish,edgeR,down,FBtr0307057
sailfish,edgeR,down,FBtr0332503
sailfish,edgeR,down,FBtr0303749
sailfish,edgeR,down,FBtr0302896
sailfish,edgeR,down,FBtr0081484
sailfish,edgeR,down,FBtr0329895
sailfish,edgeR,down,FBtr0334282
sailfish,edgeR,down,FBtr0332042
sailfish,edgeR,down,FBtr0073421
sailfish,edgeR,down,FBtr0073423
sailfish,edgeR,down,FBtr0335521
sailfish,edgeR,down,FBtr0308631
sailfish,edgeR,down,FBtr0335012
sailfish,edgeR,down,FBtr0332260
sailfish,edgeR,down,FBtr0301500
sailfish,edgeR,down,FBtr0343358
sailfish,edgeR,down,FBtr0299525
sailfish,edgeR,down,FBtr0299524
sailfish,edgeR,down,FBtr0299526
sailfish,edgeR,down,FBtr0076525
sailfish,edgeR,down,FBtr0344980
