Align,DE,Dir,GeneName
kallisto,edgeR,up,FBtr0345070
kallisto,edgeR,up,FBtr0336676
kallisto,edgeR,up,FBtr0087493
kallisto,edgeR,up,FBtr0305073
kallisto,edgeR,up,FBtr0083765
kallisto,edgeR,up,FBtr0290078
kallisto,edgeR,up,FBtr0331509
kallisto,edgeR,up,FBtr0332478
kallisto,edgeR,up,FBtr0080892
kallisto,edgeR,up,FBtr0085987
kallisto,edgeR,up,FBtr0071004
kallisto,edgeR,up,FBtr0075966
kallisto,edgeR,up,FBtr0333073
kallisto,edgeR,up,FBtr0079062
kallisto,edgeR,up,FBtr0081619
kallisto,edgeR,up,FBtr0340212
kallisto,edgeR,up,FBtr0112994
kallisto,edgeR,up,FBtr0334053
kallisto,edgeR,up,FBtr0113323
kallisto,edgeR,up,FBtr0073779
kallisto,edgeR,up,FBtr0082452
kallisto,edgeR,up,FBtr0300017
kallisto,edgeR,up,FBtr0089349
kallisto,edgeR,up,FBtr0085899
kallisto,edgeR,up,FBtr0087089
kallisto,edgeR,up,FBtr0088506
kallisto,edgeR,up,FBtr0299920
kallisto,edgeR,up,FBtr0080592
kallisto,edgeR,up,FBtr0306087
kallisto,edgeR,up,FBtr0076668
kallisto,edgeR,up,FBtr0300889
kallisto,edgeR,up,FBtr0305679
kallisto,edgeR,up,FBtr0073422
kallisto,edgeR,up,FBtr0308621
kallisto,edgeR,up,FBtr0072506
kallisto,edgeR,up,FBtr0301143
kallisto,edgeR,up,FBtr0112808
kallisto,edgeR,up,FBtr0347200
kallisto,edgeR,up,FBtr0301501
kallisto,edgeR,up,FBtr0339741
kallisto,edgeR,down,FBtr0072393
kallisto,edgeR,down,FBtr0087390
kallisto,edgeR,down,FBtr0079708
kallisto,edgeR,down,FBtr0336736
kallisto,edgeR,down,FBtr0344277
kallisto,edgeR,down,FBtr0088550
kallisto,edgeR,down,FBtr0082183
kallisto,edgeR,down,FBtr0087308
kallisto,edgeR,down,FBtr0087307
kallisto,edgeR,down,FBtr0071835
kallisto,edgeR,down,FBtr0306917
kallisto,edgeR,down,FBtr0070393
kallisto,edgeR,down,FBtr0082790
kallisto,edgeR,down,FBtr0073378
kallisto,edgeR,down,FBtr0089963
kallisto,edgeR,down,FBtr0087008
kallisto,edgeR,down,FBtr0339643
kallisto,edgeR,down,FBtr0300190
kallisto,edgeR,down,FBtr0071935
kallisto,edgeR,down,FBtr0305668
kallisto,edgeR,down,FBtr0080514
