transcript_id	gene_id	length	effective_length	expected_count	TPM	FPKM	IsoPct
FBtr0080531	FBtr0080531	653	611.57	0.00	0.00	0.00	0.00
FBtr0080532	FBtr0080532	2461	2419.57	2844.74	86.03	55.30	100.00
FBtr0080534	FBtr0080534	1821	1779.57	991.11	40.75	26.19	100.00
FBtr0080536	FBtr0080536	2237	2195.57	0.00	0.00	0.00	100.00
FBtr0080537	FBtr0080537	5818	5776.57	2513.00	31.83	20.46	100.00
FBtr0080539	FBtr0080539	1456	1414.57	56.12	2.90	1.87	100.00
FBtr0080540	FBtr0080540	915	873.57	225.10	18.86	12.12	100.00
FBtr0080541	FBtr0080541	5635	5593.57	2379.00	31.12	20.00	100.00
FBtr0080542	FBtr0080542	2026	1984.57	0.00	0.00	0.00	0.00
FBtr0080543	FBtr0080543	1687	1645.57	355.71	15.82	10.17	100.00
FBtr0080544	FBtr0080544	970	928.57	633.66	49.93	32.10	100.00
FBtr0080546	FBtr0080546	4444	4402.57	779.32	12.95	8.33	100.00
FBtr0080547	FBtr0080547	3869	3827.57	692.33	13.24	8.51	100.00
FBtr0080548	FBtr0080548	3516	3474.57	11.35	0.24	0.15	100.00
FBtr0080549	FBtr0080549	923	881.57	4.00	0.33	0.21	100.00
FBtr0080550	FBtr0080550	1092	1050.57	4.00	0.28	0.18	100.00
FBtr0080551	FBtr0080551	867	825.57	0.00	0.00	0.00	0.00
FBtr0080552	FBtr0080552	2004	1962.57	1163.80	43.39	27.89	100.00
FBtr0080553	FBtr0080553	2062	2020.57	13.26	0.48	0.31	100.00
FBtr0080554	FBtr0080554	2222	2180.57	15.00	0.50	0.32	100.00
FBtr0080555	FBtr0080555	514	472.57	0.00	0.00	0.00	0.00
FBtr0080557	FBtr0080557	1413	1371.57	2.00	0.11	0.07	100.00
FBtr0080558	FBtr0080558	1333	1291.57	1.00	0.06	0.04	100.00
FBtr0080560	FBtr0080560	2433	2391.57	0.00	0.00	0.00	100.00
FBtr0080561	FBtr0080561	4021	3979.57	624.37	11.48	7.38	100.00
FBtr0080562	FBtr0080562	4809	4767.57	2677.72	41.10	26.42	100.00
FBtr0080563	FBtr0080563	885	843.57	6.18	0.54	0.34	100.00
FBtr0080564	FBtr0080564	800	758.57	4.00	0.39	0.25	100.00
FBtr0080565	FBtr0080565	586	544.57	1035.07	139.08	89.39	100.00
FBtr0080566	FBtr0080566	707	665.57	398.34	43.79	28.15	100.00
FBtr0080569	FBtr0080569	1666	1624.57	3764.00	169.54	108.97	100.00
FBtr0080570	FBtr0080570	1732	1690.57	4402.00	190.53	122.47	100.00
FBtr0080571	FBtr0080571	3679	3637.57	983.00	19.77	12.71	100.00
FBtr0080572	FBtr0080572	557	515.57	106.25	15.08	9.69	100.00
FBtr0080573	FBtr0080573	3003	2961.57	29.63	0.73	0.47	100.00
FBtr0080575	FBtr0080575	831	789.57	57.53	5.33	3.43	100.00
FBtr0080576	FBtr0080576	1987	1945.57	84.43	3.18	2.04	100.00
FBtr0080579	FBtr0080579	1368	1326.57	0.00	0.00	0.00	0.00
FBtr0080580	FBtr0080580	3841	3799.57	0.00	0.00	0.00	0.00
FBtr0080585	FBtr0080585	1286	1244.57	658.29	38.70	24.88	100.00
FBtr0080586	FBtr0080586	1141	1099.57	415.39	27.64	17.77	100.00
FBtr0080587	FBtr0080587	1766	1724.57	638.00	27.07	17.40	100.00
FBtr0080588	FBtr0080588	2343	2301.57	9.00	0.29	0.18	100.00
FBtr0080589	FBtr0080589	2502	2460.57	0.00	0.00	0.00	100.00
FBtr0080590	FBtr0080590	2501	2459.57	218.00	6.49	4.17	100.00
FBtr0080591	FBtr0080591	2206	2164.57	21.00	0.71	0.46	100.00
FBtr0080592	FBtr0080592	1282	1240.57	215.00	12.68	8.15	100.00
FBtr0080594	FBtr0080594	4396	4354.57	0.00	0.00	0.00	0.00
FBtr0080602	FBtr0080602	1086	1044.57	111.00	7.78	5.00	100.00
FBtr0080603	FBtr0080603	1180	1138.57	7.00	0.45	0.29	100.00
FBtr0080606	FBtr0080606	2036	1994.57	0.00	0.00	0.00	0.00
FBtr0080610	FBtr0080610	5386	5344.57	26.00	0.36	0.23	100.00
FBtr0080615	FBtr0080615	2054	2012.57	1333.30	48.48	31.16	100.00
FBtr0080616	FBtr0080616	673	631.57	56.26	6.52	4.19	100.00
FBtr0080617	FBtr0080617	1478	1436.57	837.00	42.63	27.40	100.00
FBtr0080618	FBtr0080618	1435	1393.57	740.86	38.90	25.00	100.00
FBtr0080621	FBtr0080621	731	689.57	8.72	0.92	0.59	100.00
FBtr0080623	FBtr0080623	4826	4784.57	8.00	0.12	0.08	100.00
FBtr0080624	FBtr0080624	3450	3408.57	1059.83	22.75	14.62	100.00
FBtr0080625	FBtr0080625	1841	1799.57	0.00	0.00	0.00	100.00
FBtr0080626	FBtr0080626	1147	1105.57	1626.86	107.68	69.21	100.00
FBtr0080627	FBtr0080627	1468	1426.57	546.05	28.01	18.00	100.00
FBtr0080629	FBtr0080629	2160	2118.57	717.00	24.76	15.92	100.00
FBtr0080630	FBtr0080630	3161	3119.57	330.50	7.75	4.98	100.00
FBtr0080633	FBtr0080633	813	771.57	6.00	0.57	0.37	100.00
FBtr0080634	FBtr0080634	545	503.57	3.00	0.44	0.28	100.00
FBtr0080637	FBtr0080637	3323	3281.57	42.00	0.94	0.60	100.00
FBtr0080638	FBtr0080638	2462	2420.57	3.00	0.09	0.06	100.00
FBtr0080639	FBtr0080639	2321	2279.57	877.00	28.15	18.09	100.00
FBtr0080640	FBtr0080640	656	614.57	0.00	0.00	0.00	0.00
FBtr0080641	FBtr0080641	1433	1391.57	393.00	20.67	13.28	100.00
FBtr0080642	FBtr0080642	774	732.57	1.00	0.10	0.06	100.00
FBtr0080643	FBtr0080643	2859	2817.57	22.00	0.57	0.37	100.00
FBtr0080656	FBtr0080656	563	521.57	0.00	0.00	0.00	0.00
FBtr0080661	FBtr0080661	653	611.57	0.00	0.00	0.00	0.00
FBtr0080662	FBtr0080662	1114	1072.57	0.00	0.00	0.00	0.00
FBtr0080667	FBtr0080667	1225	1183.57	0.00	0.00	0.00	0.00
FBtr0080670	FBtr0080670	1158	1116.57	0.00	0.00	0.00	0.00
FBtr0080671	FBtr0080671	1301	1259.57	0.00	0.00	0.00	0.00
FBtr0080672	FBtr0080672	1318	1276.57	0.00	0.00	0.00	0.00
FBtr0080673	FBtr0080673	909	867.57	0.00	0.00	0.00	0.00
FBtr0080674	FBtr0080674	1779	1737.57	0.00	0.00	0.00	0.00
FBtr0080675	FBtr0080675	5860	5818.57	1.00	0.01	0.01	100.00
FBtr0080676	FBtr0080676	2210	2168.57	0.00	0.00	0.00	100.00
FBtr0080681	FBtr0080681	679	637.57	0.00	0.00	0.00	0.00
FBtr0080682	FBtr0080682	683	641.57	0.00	0.00	0.00	0.00
FBtr0080683	FBtr0080683	981	939.57	0.00	0.00	0.00	0.00
FBtr0080685	FBtr0080685	2531	2489.57	0.00	0.00	0.00	100.00
FBtr0080686	FBtr0080686	2110	2068.57	127.47	4.51	2.90	100.00
FBtr0080687	FBtr0080687	1857	1815.57	0.00	0.00	0.00	0.00
FBtr0080688	FBtr0080688	1103	1061.57	0.00	0.00	0.00	0.00
FBtr0080691	FBtr0080691	613	571.57	0.00	0.00	0.00	0.00
FBtr0080693	FBtr0080693	730	688.57	324.00	34.43	22.13	100.00
FBtr0080695	FBtr0080695	726	684.57	377.35	40.34	25.93	100.00
FBtr0080696	FBtr0080696	1769	1727.57	473.00	20.03	12.88	100.00
FBtr0080699	FBtr0080699	1522	1480.57	13.75	0.68	0.44	100.00
FBtr0080700	FBtr0080700	2950	2908.57	119.28	3.00	1.93	100.00
FBtr0080702	FBtr0080702	6072	6030.57	0.00	0.00	0.00	0.00
FBtr0080703	FBtr0080703	5835	5793.57	0.00	0.00	0.00	0.00
FBtr0080704	FBtr0080704	2122	2080.57	1.00	0.04	0.02	100.00
FBtr0080705	FBtr0080705	4145	4103.57	1585.39	28.27	18.17	100.00
FBtr0080706	FBtr0080706	4124	4082.57	6152.94	110.28	70.88	100.00
FBtr0080707	FBtr0080707	2975	2933.57	1.34	0.03	0.02	100.00
FBtr0080708	FBtr0080708	1011	969.57	70.39	5.31	3.41	100.00
FBtr0080709	FBtr0080709	2920	2878.57	0.00	0.00	0.00	0.00
FBtr0080711	FBtr0080711	2555	2513.57	1817.91	52.92	34.02	100.00
FBtr0080712	FBtr0080712	2500	2458.57	267.35	7.96	5.11	100.00
FBtr0080714	FBtr0080714	1740	1698.57	0.00	0.00	0.00	0.00
FBtr0080715	FBtr0080715	1812	1770.57	0.00	0.00	0.00	0.00
FBtr0080718	FBtr0080718	3209	3167.57	0.00	0.00	0.00	100.00
FBtr0080719	FBtr0080719	1838	1796.57	238.08	9.70	6.23	100.00
FBtr0080720	FBtr0080720	1918	1876.57	3743.96	145.99	93.83	100.00
FBtr0080721	FBtr0080721	3164	3122.57	2090.96	49.00	31.49	100.00
FBtr0080722	FBtr0080722	1401	1359.57	1346.69	72.48	46.59	100.00
FBtr0080723	FBtr0080723	7241	7199.57	0.00	0.00	0.00	100.00
FBtr0080724	FBtr0080724	7236	7194.57	113.09	1.15	0.74	100.00
FBtr0080725	FBtr0080725	2358	2316.57	2100.25	66.34	42.64	100.00
FBtr0080727	FBtr0080727	1149	1107.57	106.15	7.01	4.51	100.00
FBtr0080728	FBtr0080728	800	758.57	359.00	34.63	22.26	100.00
FBtr0080729	FBtr0080729	1048	1006.57	0.00	0.00	0.00	0.00
FBtr0080731	FBtr0080731	1127	1085.57	1.00	0.07	0.04	100.00
FBtr0080733	FBtr0080733	1560	1518.57	1.00	0.05	0.03	100.00
FBtr0080734	FBtr0080734	2273	2231.57	3.00	0.10	0.06	100.00
FBtr0080735	FBtr0080735	1934	1892.57	0.00	0.00	0.00	0.00
FBtr0080738	FBtr0080738	2991	2949.57	1132.72	28.10	18.06	100.00
FBtr0080739	FBtr0080739	1668	1626.57	0.00	0.00	0.00	0.00
FBtr0080740	FBtr0080740	2222	2180.57	0.00	0.00	0.00	0.00
FBtr0080743	FBtr0080743	707	665.57	0.00	0.00	0.00	0.00
FBtr0080746	FBtr0080746	553	511.57	169.44	24.24	15.58	100.00
FBtr0080752	FBtr0080752	4361	4319.57	5.00	0.08	0.05	100.00
FBtr0080753	FBtr0080753	849	807.57	0.00	0.00	0.00	0.00
